Index;DatumUpdate;Huisnr;Huislet;Huisnrtoe;Postcode;Plaats;Telnr;Mobnr;Kvknr;Vestigingsnr;Rsin;Btwnr;Ibannr;Objective 1;Objective 2;
1;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
2;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
3;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
4;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
5;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
6;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
7;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
8;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
9;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
10;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
11;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
12;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
13;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
14;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
15;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
16;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
17;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
18;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
19;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
20;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
21;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
22;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
23;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
24;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
25;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
26;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
27;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
28;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
29;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
30;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
31;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
32;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
33;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
34;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
35;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
36;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
37;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
38;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
39;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
40;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
41;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
42;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
43;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
44;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
45;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
46;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
47;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
48;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
49;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
50;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
51;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
52;2;4;3;3;6;2;9;0;8;11;8;11;0;0.25;2.0;
