Index;DatumUpdate;Huisnr;Huislet;Huisnrtoe;Postcode;Plaats;Telnr;Mobnr;Kvknr;Vestigingsnr;Rsin;Btwnr;Ibannr;Objective 1;Objective 2;Objective 3;
1;2;4;3;3;6;1;9;0;8;11;9;11;0;0.930952380952381;4.0;4.0;
2;2;4;3;3;5;2;9;0;8;10;9;13;0;0.9611721611721613;4.0;6.0;
3;2;4;3;3;5;2;10;0;8;11;9;11;0;0.9642857142857142;4.0;4.0;
4;2;4;3;3;3;2;9;0;8;9;9;13;0;0.9291208791208792;4.0;6.0;
5;2;4;3;3;1;1;10;0;8;10;9;14;0;0.8846153846153846;4.0;1.0;
6;2;4;3;3;6;2;9;0;8;11;9;12;0;0.9749084249084249;4.0;6.0;
7;2;4;3;3;5;1;9;0;8;10;9;13;0;0.9227106227106229;4.0;6.0;
8;2;4;3;3;2;1;9;0;8;10;9;11;0;0.8732600732600733;4.0;4.0;
9;2;4;3;3;2;2;10;0;8;8;9;11;0;0.9065934065934065;4.0;4.0;
10;2;4;3;3;5;2;10;0;8;10;9;14;0;0.9743589743589743;5.0;28.0;
11;2;4;3;3;1;2;10;0;8;10;9;14;0;0.9230769230769232;4.0;1.0;
12;2;4;3;3;5;2;9;0;8;12;9;12;0;0.9684981684981686;4.0;6.0;
13;2;4;3;3;5;2;9;0;8;10;9;12;0;0.9556776556776558;4.0;6.0;
14;2;4;3;3;6;2;9;0;8;10;9;12;0;0.9684981684981686;4.0;6.0;
15;2;4;3;3;6;2;9;0;8;10;9;13;0;0.9739926739926741;4.0;6.0;
16;2;4;3;3;4;2;9;0;8;8;9;11;0;0.9245421245421246;4.0;4.0;
17;2;4;3;3;6;1;10;0;8;12;9;11;0;0.9450549450549451;4.0;6.0;
18;2;4;3;3;1;2;9;0;8;9;9;11;0;0.8924908424908425;4.0;1.0;
19;2;4;3;3;3;2;9;0;8;11;9;11;0;0.930952380952381;4.0;4.0;
20;2;4;3;3;5;1;10;0;8;11;9;11;0;0.9258241758241758;4.0;4.0;
21;2;4;3;3;3;1;9;0;8;11;9;11;0;0.8924908424908425;4.0;4.0;
22;2;4;3;3;2;1;10;0;8;11;9;14;0;0.9038461538461539;4.0;10.0;
23;2;4;3;3;6;2;10;0;8;12;9;11;0;0.9835164835164836;5.0;6.0;
24;2;4;3;3;6;2;9;0;8;10;9;14;0;0.9794871794871796;5.0;28.0;
25;2;4;3;3;2;2;9;0;8;12;9;13;0;0.9355311355311356;4.0;6.0;
26;2;4;3;3;2;2;10;0;8;9;9;13;0;0.9239926739926739;4.0;6.0;
27;2;4;3;3;6;1;9;0;8;9;9;11;0;0.9181318681318682;4.0;4.0;
28;2;4;3;3;4;2;10;0;8;12;9;12;0;0.9633699633699635;4.0;6.0;
29;2;4;3;3;3;2;10;0;8;9;9;12;0;0.9313186813186813;4.0;6.0;
30;2;4;3;3;5;2;10;0;8;11;9;13;0;0.9752747252747251;5.0;6.0;
31;2;4;3;3;2;1;9;0;8;10;9;13;0;0.8842490842490842;4.0;6.0;
32;2;4;3;3;1;1;9;0;8;12;9;13;0;0.8842490842490842;4.0;1.0;
33;2;4;3;3;2;2;9;0;8;10;9;11;0;0.9117216117216119;4.0;4.0;
34;2;4;3;3;6;1;10;0;8;9;9;11;0;0.9258241758241759;4.0;4.0;
35;2;4;3;3;6;2;10;0;8;10;9;11;0;0.9706959706959708;4.0;4.0;
36;2;4;3;3;3;2;9;0;8;10;9;12;0;0.9300366300366302;4.0;6.0;
37;2;4;3;3;3;2;10;0;8;9;9;12;0;0.9313186813186813;4.0;6.0;
38;2;4;3;3;3;1;10;0;8;12;9;13;0;0.9175824175824177;4.0;6.0;
39;2;4;3;3;3;1;10;0;8;9;9;12;0;0.8928571428571429;4.0;6.0;
40;2;4;3;3;1;2;10;0;8;8;9;12;0;0.8992673992673994;4.0;1.0;
41;2;4;3;3;2;1;9;0;8;9;9;14;0;0.8833333333333334;4.0;10.0;
42;2;4;3;3;2;2;9;0;8;8;9;13;0;0.90989010989011;4.0;6.0;
43;2;4;3;3;6;2;10;0;8;12;9;13;0;0.9945054945054945;5.0;6.0;
44;2;4;3;3;2;1;9;0;8;8;9;11;0;0.8604395604395605;4.0;4.0;
45;2;4;3;3;4;2;10;0;8;12;9;13;0;0.968864468864469;5.0;6.0;
46;2;4;3;3;3;2;10;0;8;12;9;13;0;0.9560439560439561;4.0;6.0;
47;2;4;3;3;3;1;10;0;8;10;9;14;0;0.9102564102564104;4.0;10.0;
48;2;4;3;3;5;2;10;0;8;8;9;14;0;0.9615384615384615;4.0;28.0;
49;2;4;3;3;1;2;10;0;8;10;9;14;0;0.9230769230769232;4.0;1.0;
50;2;4;3;3;5;2;9;0;8;12;9;13;0;0.9739926739926741;5.0;6.0;
51;2;4;3;3;1;1;9;0;8;12;9;13;0;0.8842490842490842;4.0;1.0;
52;2;4;3;3;1;1;10;0;8;12;9;13;0;0.8919413919413921;4.0;1.0;
53;2;4;3;3;1;2;9;0;8;11;9;14;0;0.9217948717948717;4.0;1.0;
54;2;4;3;3;6;1;10;0;8;11;9;12;0;0.9441391941391941;4.0;6.0;
55;2;4;3;3;5;1;9;0;8;8;9;12;0;0.9043956043956045;4.0;6.0;
56;2;4;3;3;3;1;9;0;8;10;9;11;0;0.8860805860805863;4.0;4.0;
57;2;4;3;3;6;2;9;0;8;10;9;14;0;0.9794871794871796;5.0;28.0;
58;2;4;3;3;2;1;10;0;8;8;9;13;0;0.8791208791208791;4.0;6.0;
59;2;4;3;3;1;2;10;0;8;8;9;12;0;0.8992673992673994;4.0;1.0;
60;2;4;3;3;3;1;9;0;8;10;9;12;0;0.8915750915750917;4.0;6.0;
61;2;4;3;3;4;1;9;0;8;10;9;11;0;0.898901098901099;4.0;4.0;
62;2;4;3;3;3;2;9;0;8;12;9;14;0;0.9538461538461539;4.0;1600.0;
63;2;4;3;3;2;1;10;0;8;8;9;11;0;0.8681318681318682;4.0;4.0;
64;2;4;3;3;5;1;10;0;8;10;9;12;0;0.924908424908425;4.0;6.0;
65;2;4;3;3;6;1;9;0;8;8;9;12;0;0.9172161172161173;4.0;6.0;
66;2;4;3;3;6;2;9;0;8;12;9;12;0;0.9813186813186814;5.0;6.0;
67;2;4;3;3;5;1;10;0;8;11;9;13;0;0.9368131868131867;4.0;6.0;
68;2;4;3;3;5;1;10;0;8;8;9;14;0;0.9230769230769229;4.0;10.0;
69;2;4;3;3;3;1;10;0;8;11;9;14;0;0.9166666666666666;4.0;10.0;
70;2;4;3;3;4;2;10;0;8;12;9;13;0;0.968864468864469;5.0;6.0;
71;2;4;3;3;3;1;10;0;8;12;9;14;0;0.9230769230769231;4.0;10.0;
72;2;4;3;3;6;2;10;0;8;10;9;13;0;0.9816849816849818;5.0;6.0;
73;2;4;3;3;5;2;10;0;8;8;9;14;0;0.9615384615384615;4.0;28.0;
74;2;4;3;3;1;1;9;0;8;8;9;11;0;0.8476190476190477;4.0;1.0;
75;2;4;3;3;6;2;9;0;8;12;9;13;0;0.9868131868131869;5.0;6.0;
76;2;4;3;3;1;1;9;0;8;10;9;12;0;0.865934065934066;4.0;1.0;
77;2;4;3;3;1;2;9;0;8;11;9;14;0;0.9217948717948717;4.0;1.0;
78;2;4;3;3;4;2;10;0;8;10;9;12;0;0.9505494505494507;4.0;6.0;
79;2;4;3;3;4;1;9;0;8;12;9;12;0;0.9172161172161173;4.0;6.0;
80;2;4;3;3;5;2;9;0;8;11;9;11;0;0.9565934065934066;4.0;4.0;
81;2;4;3;3;2;2;9;0;8;8;9;12;0;0.9043956043956045;4.0;6.0;
82;2;4;3;3;4;2;9;0;8;8;9;12;0;0.9300366300366301;4.0;6.0;
83;2;4;3;3;6;2;10;0;8;9;9;11;0;0.9642857142857143;4.0;4.0;
84;2;4;3;3;3;1;9;0;8;10;9;12;0;0.8915750915750917;4.0;6.0;
