Index;DatumUpdate;Huisnr;Huislet;Huisnrtoe;Postcode;Plaats;Telnr;Mobnr;Kvknr;Vestigingsnr;Rsin;Btwnr;Ibannr;Objective 1;Objective 2;Objective 3;
1;2;4;3;3;2;2;10;0;8;9;9;14;0;0.9294871794871794;4.0;28.0;
2;2;4;3;3;3;1;10;0;8;10;9;11;0;0.8937728937728939;4.0;4.0;
3;2;4;3;3;1;1;10;0;8;12;9;13;0;0.8919413919413921;4.0;1.0;
4;2;4;3;3;4;2;9;0;8;12;9;13;0;0.9611721611721612;4.0;6.0;
5;2;4;3;3;4;1;10;0;8;8;9;12;0;0.8992673992673994;4.0;6.0;
6;2;4;3;3;2;1;9;0;8;8;9;14;0;0.8769230769230769;4.0;10.0;
7;2;4;3;3;2;2;10;0;8;11;9;14;0;0.9423076923076922;4.0;28.0;
8;2;4;3;3;3;1;10;0;8;9;9;11;0;0.8873626373626374;4.0;4.0;
9;2;4;3;3;5;2;10;0;8;9;9;14;0;0.9679487179487178;4.0;28.0;
10;2;4;3;3;4;1;10;0;8;11;9;11;0;0.9130036630036631;4.0;4.0;
11;2;4;3;3;5;2;10;0;8;9;9;12;0;0.9569597069597069;4.0;6.0;
12;2;4;3;3;6;2;10;0;8;9;9;14;0;0.9807692307692307;5.0;28.0;
13;2;4;3;3;1;2;9;0;8;9;9;13;0;0.9034798534798535;4.0;1.0;
14;2;4;3;3;4;1;10;0;8;8;9;12;0;0.8992673992673994;4.0;6.0;
15;2;4;3;3;5;2;10;0;8;12;9;14;0;0.9871794871794871;5.0;1600.0;
16;2;4;3;3;3;1;9;0;8;8;9;12;0;0.8787545787545787;4.0;6.0;
17;2;4;3;3;1;2;10;0;8;12;9;11;0;0.9194139194139196;4.0;1.0;
18;2;4;3;3;2;2;9;0;8;9;9;14;0;0.9217948717948719;4.0;28.0;
19;2;4;3;3;1;1;9;0;8;11;9;11;0;0.866849816849817;4.0;1.0;
20;2;4;3;3;1;2;10;0;8;8;9;11;0;0.8937728937728939;4.0;1.0;
21;2;4;3;3;6;2;10;0;8;11;9;13;0;0.988095238095238;5.0;6.0;
22;2;4;3;3;5;1;9;0;8;8;9;12;0;0.9043956043956045;4.0;6.0;
23;2;4;3;3;4;1;10;0;8;12;9;11;0;0.9194139194139196;4.0;6.0;
24;2;4;3;3;4;2;9;0;8;10;9;14;0;0.9538461538461539;4.0;28.0;
25;2;4;3;3;6;2;9;0;8;10;9;14;0;0.9794871794871796;5.0;28.0;
26;2;4;3;3;6;1;9;0;8;8;9;12;0;0.9172161172161173;4.0;6.0;
27;2;4;3;3;6;1;9;0;8;12;9;13;0;0.9483516483516484;5.0;6.0;
28;2;4;3;3;4;1;9;0;8;8;9;14;0;0.9025641025641025;4.0;10.0;
29;2;4;3;3;5;1;10;0;8;12;9;12;0;0.9377289377289377;4.0;6.0;
30;2;4;3;3;2;1;9;0;8;8;9;11;0;0.8604395604395605;4.0;4.0;
31;2;4;3;3;4;1;9;0;8;11;9;11;0;0.9053113553113553;4.0;4.0;
32;2;4;3;3;4;2;10;0;8;8;9;11;0;0.9322344322344324;4.0;4.0;
33;2;4;3;3;6;1;9;0;8;11;9;12;0;0.9364468864468865;4.0;6.0;
34;2;4;3;3;4;2;10;0;8;11;9;12;0;0.956959706959707;4.0;6.0;
35;2;4;3;3;4;2;9;0;8;9;9;13;0;0.9419413919413919;4.0;6.0;
36;2;4;3;3;5;1;9;0;8;9;9;12;0;0.9108058608058609;4.0;6.0;
37;2;4;3;3;2;1;10;0;8;10;9;13;0;0.8919413919413919;4.0;6.0;
38;2;4;3;3;3;2;9;0;8;8;9;14;0;0.9282051282051282;4.0;28.0;
39;2;4;3;3;4;2;9;0;8;9;9;11;0;0.930952380952381;4.0;4.0;
40;2;4;3;3;2;1;10;0;8;11;9;12;0;0.8928571428571429;4.0;6.0;
41;2;4;3;3;5;2;10;0;8;11;9;12;0;0.9697802197802197;4.0;6.0;
42;2;4;3;3;6;1;9;0;8;10;9;11;0;0.9245421245421247;4.0;4.0;
43;2;4;3;3;4;2;10;0;8;9;9;12;0;0.9441391941391942;4.0;6.0;
44;2;4;3;3;5;2;9;0;8;8;9;12;0;0.942857142857143;4.0;6.0;
45;2;4;3;3;6;2;9;0;8;11;9;14;0;0.9858974358974358;5.0;28.0;
46;2;4;3;3;1;2;10;0;8;11;9;12;0;0.9184981684981686;4.0;1.0;
47;2;4;3;3;1;2;9;0;8;12;9;14;0;0.9282051282051282;4.0;85.0;
48;2;4;3;3;3;1;9;0;8;12;9;11;0;0.898901098901099;4.0;6.0;
49;2;4;3;3;1;2;9;0;8;10;9;13;0;0.90989010989011;4.0;1.0;
50;2;4;3;3;4;1;10;0;8;9;9;11;0;0.9001831501831503;4.0;4.0;
51;2;4;3;3;4;2;10;0;8;8;9;13;0;0.9432234432234433;4.0;6.0;
52;2;4;3;3;5;2;10;0;8;10;9;13;0;0.9688644688644689;4.0;6.0;
53;2;4;3;3;5;1;10;0;8;12;9;13;0;0.9432234432234432;5.0;6.0;
54;2;4;3;3;5;2;10;0;8;10;9;11;0;0.9578754578754579;4.0;4.0;
55;2;4;3;3;1;1;10;0;8;12;9;12;0;0.8864468864468866;4.0;1.0;
56;2;4;3;3;6;1;9;0;8;8;9;13;0;0.9227106227106228;4.0;6.0;
57;2;4;3;3;5;1;9;0;8;11;9;14;0;0.9346153846153846;4.0;10.0;
